nhood,day_of_week,hour_bucket,avg_pickups,max_pickups,min_pickups,nhood_id,hour_bucket_id
Marina/Cow Hollow,6,10-16,18.71,60.5,3.0,8,1
Marina/Cow Hollow,6,16-19,20.18,51.75,2.75,8,2
Marina/Cow Hollow,6,19-0,8.68,50.0,0.0,8,3
Marina/Cow Hollow,6,7-10,9.18,32.0,0.75,8,4
Mission,0,0-7,2.78,20.2,0.0,9,0
Mission,0,10-16,9.88,27.0,1.2,9,1
Mission,0,16-19,17.21,68.4,3.8,9,2
Mission,0,19-0,10.0,58.4,0.0,9,3
Mission,0,7-10,14.58,49.8,3.2,9,4
Mission,1,0-7,2.75,21.4,0.0,9,0
Mission,1,10-16,10.94,31.8,2.2,9,1
Mission,1,16-19,19.47,82.2,4.4,9,2
Mission,1,19-0,12.8,72.8,0.2,9,3
Mission,1,7-10,15.53,54.0,4.2,9,4
Mission,2,0-7,2.76,19.6,0.0,9,0
Mission,2,10-16,11.95,36.2,1.4,9,1
Mission,2,16-19,22.01,98.4,4.0,9,2
Mission,2,19-0,15.97,89.0,0.4,9,3
Mission,2,7-10,16.55,57.0,5.2,9,4
Mission,3,0-7,3.17,28.5,0.0,9,0
Mission,3,10-16,12.89,38.25,1.5,9,1
Mission,3,16-19,20.88,86.0,3.75,9,2
Mission,3,19-0,18.51,98.5,1.0,9,3
Mission,3,7-10,17.68,76.0,4.5,9,4
Mission,4,0-7,3.16,20.75,0.0,9,0
Mission,4,10-16,12.79,39.25,2.5,9,1
Mission,4,16-19,24.56,105.25,4.25,9,2
Mission,4,19-0,28.62,128.0,3.75,9,3
Mission,4,7-10,17.36,60.75,4.75,9,4
Mission,5,0-7,3.41,20.0,0.25,9,0
Mission,5,10-16,17.33,58.0,3.5,9,1
Mission,5,16-19,26.6,120.5,6.75,9,2
Mission,5,19-0,28.81,115.0,4.5,9,3
Mission,5,7-10,8.25,28.0,1.5,9,4
Mission,6,0-7,3.86,26.0,0.0,9,0
Mission,6,10-16,15.46,60.75,3.5,9,1
Mission,6,16-19,19.67,82.25,3.75,9,2
Mission,6,19-0,10.73,62.0,0.0,9,3
Mission,6,7-10,6.43,27.0,0.5,9,4
Mission Bay,0,0-7,3.1,29.0,0.0,10,0
Mission Bay,0,10-16,10.05,38.8,1.2,10,1
Mission Bay,0,16-19,16.79,63.4,2.2,10,2
Mission Bay,0,19-0,7.44,59.0,0.0,10,3
Mission Bay,0,7-10,16.34,56.0,1.4,10,4
Mission Bay,1,0-7,3.4,26.4,0.0,10,0
Mission Bay,1,10-16,11.31,38.4,1.8,10,1
Mission Bay,1,16-19,19.51,74.2,3.6,10,2
Mission Bay,1,19-0,9.63,72.2,0.0,10,3
Mission Bay,1,7-10,18.2,58.6,1.6,10,4
Mission Bay,2,0-7,3.37,32.4,0.0,10,0
Mission Bay,2,10-16,12.75,48.4,0.8,10,1
Mission Bay,2,16-19,21.53,72.6,3.4,10,2
Mission Bay,2,19-0,11.68,74.6,0.0,10,3
Mission Bay,2,7-10,21.39,62.4,2.2,10,4
Mission Bay,3,0-7,3.89,36.75,0.0,10,0
Mission Bay,3,10-16,13.61,47.0,2.0,10,1
Mission Bay,3,16-19,20.02,66.0,2.5,10,2
Mission Bay,3,19-0,15.12,88.0,0.0,10,3
Mission Bay,3,7-10,22.24,80.5,2.0,10,4
Mission Bay,4,0-7,3.72,33.0,0.0,10,0
Mission Bay,4,10-16,13.53,49.75,1.0,10,1
Mission Bay,4,16-19,23.79,81.75,2.5,10,2
Mission Bay,4,19-0,18.54,122.0,0.0,10,3
Mission Bay,4,7-10,19.13,64.75,1.25,10,4
Mission Bay,5,0-7,1.84,14.75,0.0,10,0
Mission Bay,5,10-16,10.46,40.75,0.5,10,1
Mission Bay,5,16-19,16.23,51.5,0.25,10,2
Mission Bay,5,19-0,17.15,132.75,0.0,10,3
Mission Bay,5,7-10,5.56,26.75,0.25,10,4
Mission Bay,6,0-7,2.28,20.5,0.0,10,0
Mission Bay,6,10-16,10.13,43.5,0.25,10,1
Mission Bay,6,16-19,12.71,44.75,1.5,10,2
Mission Bay,6,19-0,5.47,34.25,0.0,10,3
Mission Bay,6,7-10,4.52,28.0,0.0,10,4
Nob Hill,0,0-7,4.52,24.6,0.0,11,0
Nob Hill,0,10-16,12.72,41.4,3.4,11,1
Nob Hill,0,16-19,24.76,65.8,5.4,11,2
Nob Hill,0,19-0,16.17,63.8,0.6,11,3
Nob Hill,0,7-10,13.75,49.8,2.6,11,4
Nob Hill,1,0-7,4.51,31.0,0.0,11,0
Nob Hill,1,10-16,13.58,40.8,2.6,11,1
Nob Hill,1,16-19,30.3,93.8,5.8,11,2
Nob Hill,1,19-0,20.64,85.4,0.4,11,3
Nob Hill,1,7-10,15.0,57.6,2.0,11,4
Nob Hill,2,0-7,4.85,28.4,0.2,11,0
Nob Hill,2,10-16,15.37,43.4,4.0,11,1
Nob Hill,2,16-19,34.65,92.8,5.0,11,2
Nob Hill,2,19-0,25.4,90.0,0.8,11,3
Nob Hill,2,7-10,15.59,46.6,3.0,11,4
Nob Hill,3,0-7,5.16,29.75,0.25,11,0
Nob Hill,3,10-16,15.41,50.75,3.5,11,1
Nob Hill,3,16-19,35.3,109.5,6.75,11,2
Nob Hill,3,19-0,31.79,115.5,2.0,11,3
