nhood,day_of_week,hour_bucket,total_travel_time,avg_travel_time,min_travel_time,max_travel_time
Mission,0,19-0,93689.42,628.7880536912752,98.0,2200.73
Mission,0,7-10,156483.49,942.671626506024,128.43,3685.33
Mission,1,0-7,78554.78,581.8872592592593,102.22,3256.2
Mission,1,10-16,159244.22,704.6204424778762,129.47,2658.5
Mission,1,16-19,122913.02,859.5316083916084,173.22,3220.33
Mission,1,19-0,86566.79,627.2955797101449,98.17,1794.83
Mission,1,7-10,169906.66,965.37875,117.89,3920.83
Mission,2,0-7,97843.84,665.6043537414965,122.78,2986.14
Mission,2,10-16,183781.66,759.4283471074381,96.0,2863.57
Mission,2,16-19,122278.38,820.6602684563759,101.5,3475.18
Mission,2,19-0,99730.52,643.4227096774193,99.44,2338.0
Mission,2,7-10,150540.91,885.5347647058824,149.3,3736.33
Mission,3,0-7,88482.18,623.1139436619718,125.88,3019.33
Mission,3,10-16,187036.78,760.3121138211382,103.4,2598.71
Mission,3,16-19,145094.8,918.3215189873417,113.5,3234.71
Mission,3,19-0,107691.14,626.1112790697674,86.5,2405.33
Mission,3,7-10,157656.3,866.2434065934066,142.7,4863.43
Mission,4,0-7,78044.76,553.5089361702127,106.25,2279.14
Mission,4,10-16,210928.51,814.3957915057915,131.3,2733.88
Mission,4,16-19,152419.74,837.4710989010988,119.0,3203.09
Mission,4,19-0,135564.1,613.4122171945702,97.29,2228.75
Mission,4,7-10,118041.36,694.3609411764706,111.89,2363.25
Mission,5,0-7,95036.62,559.0389411764705,87.75,2209.0
Mission,5,10-16,148106.35,676.2847031963471,105.44,2645.5
Mission,5,16-19,88882.18,689.0091472868216,135.33,2145.88
Mission,5,19-0,139623.26,569.8908571428572,65.55,2100.29
Mission,5,7-10,48232.96,588.2068292682927,80.33,2030.17
Mission,6,0-7,113062.56,582.7967010309278,95.64,2156.25
Mission,6,10-16,155881.16,695.8980357142857,94.0,2439.57
Mission,6,16-19,69171.28,634.5988990825688,141.73,1841.5
Mission,6,19-0,112853.11,606.7371505376344,98.0,2197.71
Mission,6,7-10,48891.21,555.5819318181818,146.0,2091.5
Nob Hill,0,0-7,1060.6399999999999,212.128,145.38,266.13
Nob Hill,0,10-16,3414.61,227.64066666666668,140.17,556.5
Nob Hill,0,16-19,380.12,190.06,186.83,193.29
Nob Hill,0,19-0,198.17,198.17,198.17,198.17
Nob Hill,0,7-10,1083.37,270.8425,126.44,423.5
Nob Hill,1,0-7,548.99,182.99666666666667,149.67,209.57
Nob Hill,1,10-16,5937.82,269.90090909090907,122.5,668.5
Nob Hill,1,16-19,1234.54,308.635,197.5,363.63
Nob Hill,1,19-0,456.80999999999995,228.40499999999997,200.67,256.14
Nob Hill,1,7-10,2006.49,200.649,99.89,301.14
Nob Hill,2,0-7,5706.05,438.9269230769231,145.0,794.38
Nob Hill,2,10-16,6894.57,275.7828,117.0,941.67
Nob Hill,2,16-19,1863.1999999999998,232.89999999999998,113.5,296.33
Nob Hill,2,19-0,871.63,174.326,128.83,238.17
Nob Hill,2,7-10,2498.69,192.2069230769231,114.86,346.86
Nob Hill,3,0-7,962.31,320.77,121.0,580.14
Nob Hill,3,10-16,4956.89,260.88894736842104,146.89,659.5
Nob Hill,3,16-19,3033.78,252.81500000000003,140.88,427.0
Nob Hill,3,19-0,1129.46,282.365,187.5,464.88
Nob Hill,3,7-10,2981.0699999999997,212.9335714285714,95.0,381.86
Nob Hill,4,0-7,647.27,129.454,77.67,210.43
Nob Hill,4,10-16,7423.56,296.9424,131.5,849.86
Nob Hill,4,16-19,2086.32,231.81333333333336,170.11,350.0
Nob Hill,4,19-0,7773.11,259.10366666666664,103.64,634.67
Nob Hill,4,7-10,2398.64,199.88666666666666,128.4,253.5
Nob Hill,5,0-7,7171.53,265.6122222222222,110.73,754.29
Nob Hill,5,10-16,3422.14,228.14266666666666,148.33,483.25
Nob Hill,5,16-19,2894.18,321.5755555555555,163.88,545.75
Nob Hill,5,19-0,12944.57,349.85324324324324,121.55,894.5
Nob Hill,5,7-10,698.71,174.6775,116.86,220.71
Nob Hill,6,0-7,8747.56,282.1793548387097,112.92,916.67
Nob Hill,6,10-16,4902.0599999999995,272.33666666666664,163.91,830.5
Nob Hill,6,16-19,341.0,341.0,341.0,341.0
Nob Hill,6,19-0,3801.77,380.177,188.36,750.83
Nob Hill,6,7-10,286.14,286.14,286.14,286.14
North Beach/Waterfront,5,10-16,436.33,436.33,436.33,436.33
Pacific Heights,0,0-7,5226.32,580.7022222222222,525.48,682.83
Pacific Heights,0,10-16,23456.62,689.9005882352941,196.71,1557.86
Pacific Heights,0,16-19,16294.2,708.4434782608696,108.5,1043.5
Pacific Heights,0,19-0,13986.64,635.7563636363636,88.7,1318.0
Pacific Heights,0,7-10,21806.7,908.6125000000001,272.67,2107.17
Pacific Heights,1,0-7,5558.18,617.5755555555556,518.19,748.14
Pacific Heights,1,10-16,27828.55,732.3302631578947,191.83,1630.27
Pacific Heights,1,16-19,15808.3,718.5590909090909,199.13,1013.88
Pacific Heights,1,19-0,15180.52,660.0226086956521,54.67,1287.91
Pacific Heights,1,7-10,13258.34,1019.8723076923077,644.32,2076.14
Pacific Heights,2,0-7,10537.63,658.601875,269.0,1244.25
Pacific Heights,2,10-16,26904.09,768.6882857142857,206.38,1998.83
Pacific Heights,2,16-19,16366.2,711.5739130434783,260.86,975.57
Pacific Heights,2,19-0,17532.86,649.3651851851852,160.17,1519.86
Pacific Heights,2,7-10,12927.960000000001,994.4584615384616,707.62,2296.71
Pacific Heights,3,0-7,6685.58,607.78,536.0,657.63
Pacific Heights,3,10-16,28253.079999999998,763.5967567567567,189.4,1965.5
Pacific Heights,3,16-19,18129.88,725.1952,243.0,982.71
Pacific Heights,3,19-0,19869.05,620.9078125,25.67,1280.0
Pacific Heights,3,7-10,18868.69,1109.9229411764704,627.67,2222.25
Pacific Heights,4,0-7,6441.19,585.5627272727272,443.0,711.92
Pacific Heights,4,10-16,28685.45,717.13625,141.67,1985.57
Pacific Heights,4,16-19,21966.77,757.4748275862069,238.83,1971.0
Pacific Heights,4,19-0,28015.0,560.3,64.18,1547.57
Pacific Heights,4,7-10,13930.98,870.68625,593.76,1930.71
Pacific Heights,5,0-7,13439.42,559.9758333333333,149.33,1059.33
Pacific Heights,5,10-16,33633.78,800.8042857142857,228.65,2944.0
Pacific Heights,5,16-19,27558.19,725.2155263157895,217.12,2067.0
Pacific Heights,5,19-0,30312.38,551.1341818181818,62.67,1391.22
Pacific Heights,5,7-10,12851.75,611.9880952380952,235.5,1183.17
Pacific Heights,6,0-7,13086.4,568.9739130434782,277.5,860.33
Pacific Heights,6,10-16,30286.22,757.1555000000001,179.9,1798.56
Pacific Heights,6,16-19,16849.95,673.998,240.13,1182.83
Pacific Heights,6,19-0,20885.41,614.2767647058823,93.5,1341.33
Pacific Heights,6,7-10,8140.79,626.2146153846154,177.67,1020.17
Potrero Hill,0,0-7,28935.49,741.9356410256411,202.0,1581.53
Potrero Hill,0,10-16,38693.91,859.8646666666667,203.5,1939.0
Potrero Hill,0,16-19,41117.01,1002.8539024390244,273.08,2320.3
Potrero Hill,0,19-0,31568.45,717.4647727272727,44.5,1647.64
Potrero Hill,0,7-10,35483.91,959.0245945945946,196.83,2248.2
Potrero Hill,1,0-7,19986.05,666.2016666666666,229.83,1336.33
Potrero Hill,1,10-16,40160.53,933.9658139534884,207.29,1772.43
Potrero Hill,1,16-19,44522.11,1113.05275,262.82,2596.09
Potrero Hill,1,19-0,34446.25,675.4166666666666,66.47,1549.25
Potrero Hill,1,7-10,37347.74,1067.0782857142856,208.25,2417.43
Potrero Hill,2,0-7,27240.760000000002,736.2367567567568,198.33,1472.2
Potrero Hill,2,10-16,43232.01,939.8263043478262,224.88,1983.35
Potrero Hill,2,16-19,45780.31,1064.6583720930232,277.2,2302.22
Potrero Hill,2,19-0,34694.62,642.492962962963,32.33,1548.09
Potrero Hill,2,7-10,42419.9,1009.9976190476191,248.17,2335.1
Potrero Hill,3,0-7,27755.65,730.4118421052632,164.86,1827.14
Potrero Hill,3,10-16,45310.24,924.6987755102041,204.17,1760.0
Potrero Hill,3,16-19,50408.64,1120.192,279.94,2416.13
Potrero Hill,3,19-0,35950.78,619.8410344827586,45.33,1487.82
Potrero Hill,3,7-10,44298.62,1054.7290476190476,270.75,2477.25
Potrero Hill,4,0-7,28429.17,728.9530769230769,224.47,1487.0
Potrero Hill,4,10-16,43557.44,967.9431111111112,196.83,2035.19
Potrero Hill,4,16-19,48185.89,1095.1338636363637,271.0,2305.6
Potrero Hill,4,19-0,47584.08,679.7725714285715,51.75,1879.17
Potrero Hill,4,7-10,38648.89,990.9971794871794,235.06,2148.07
Potrero Hill,5,0-7,32706.08,726.8017777777778,227.05,1411.5
Potrero Hill,5,10-16,42991.43,934.596304347826,224.33,2560.13
Potrero Hill,5,16-19,40398.38,918.145,288.58,1734.15
Potrero Hill,5,19-0,42138.53,638.4625757575758,57.29,1897.14
Potrero Hill,5,7-10,31911.3,778.3243902439024,218.33,1760.67
Potrero Hill,6,0-7,35312.07,735.668125,248.82,1686.83
Potrero Hill,6,10-16,39051.97,848.9558695652174,262.27,1642.31
Potrero Hill,6,16-19,34163.51,854.08775,279.65,1785.63
Potrero Hill,6,19-0,39595.9,659.9316666666667,90.62,1549.43
Potrero Hill,6,7-10,20265.71,614.1124242424243,188.0,1266.45
Russian Hill,2,0-7,1447.16,723.58,652.83,794.33
Russian Hill,2,19-0,239.83,239.83,239.83,239.83
Russian Hill,3,10-16,1898.2,1898.2,1898.2,1898.2
Russian Hill,3,16-19,2001.17,2001.17,2001.17,2001.17
Russian Hill,3,19-0,483.33,483.33,483.33,483.33
Russian Hill,4,10-16,4878.43,1626.1433333333334,1576.33,1711.0
Tenderloin,0,0-7,4494.95,374.57916666666665,191.3,704.0
